,TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,MerchantName,Location,Category,FraudIndicator,SuspiciousFlag,Name,Age,Address
37,38,46.214982406953474,1087,02-01-2022 13:00,2967,35.25955889,Merchant 2967,Location 2967,Retail,0,0,Customer 1087,28,Address 1087
38,39,14.63168948637222,1207,02-01-2022 14:00,2201,53.30527211,Merchant 2201,Location 2201,Other,0,0,Customer 1207,38,Address 1207
39,40,80.53777562959479,1038,02-01-2022 15:00,2995,89.31329988,Merchant 2995,Location 2995,Other,0,0,Customer 1038,62,Address 1038
40,41,47.874851353915766,1800,02-01-2022 16:00,2596,13.15678955,Merchant 2596,Location 2596,Other,0,0,Customer 1800,58,Address 1800
41,42,85.10981610829299,1510,02-01-2022 17:00,2518,39.31008129,Merchant 2518,Location 2518,Retail,0,0,Customer 1510,53,Address 1510
42,43,55.81926585658818,1104,02-01-2022 18:00,2910,62.40210029,Merchant 2910,Location 2910,Online,0,0,Customer 1104,52,Address 1104
43,44,86.97191973785533,2000,02-01-2022 19:00,2423,88.11638357,Merchant 2423,Location 2423,Food,0,0,Customer 2000,42,Address 2000
44,45,69.75758075212585,1644,02-01-2022 20:00,2364,29.20318144,Merchant 2364,Location 2364,Online,0,1,Customer 1644,51,Address 1644
45,46,79.35791579481321,1238,02-01-2022 21:00,2274,15.03142075,Merchant 2274,Location 2274,Online,0,0,Customer 1238,38,Address 1238
46,47,72.74250983074938,1759,02-01-2022 22:00,2639,64.05504371,Merchant 2639,Location 2639,Food,0,0,Customer 1759,33,Address 1759
47,48,17.6405694778187,1994,02-01-2022 23:00,2233,37.31484596,Merchant 2233,Location 2233,Travel,0,0,Customer 1994,63,Address 1994
48,49,30.793728080558463,1752,03-01-2022 00:00,2239,11.93959323,Merchant 2239,Location 2239,Other,1,0,Customer 1752,46,Address 1752
49,50,61.35297940106928,1415,03-01-2022 01:00,2946,17.91599332,Merchant 2946,Location 2946,Online,0,0,Customer 1415,57,Address 1415
50,51,42.07616320785515,1044,03-01-2022 02:00,2638,28.42012347,Merchant 2638,Location 2638,Retail,0,0,Customer 1044,22,Address 1044
51,52,90.81333790562653,1374,03-01-2022 03:00,2770,95.91411493,Merchant 2770,Location 2770,Retail,0,0,Customer 1374,47,Address 1374
52,53,42.08401695356378,1345,03-01-2022 04:00,2262,44.00543975,Merchant 2262,Location 2262,Food,0,0,Customer 1345,52,Address 1345
53,54,87.77609114158098,1680,03-01-2022 05:00,2920,39.08367573,Merchant 2920,Location 2920,Online,0,0,Customer 1680,43,Address 1680
54,55,62.13088122838467,1043,03-01-2022 06:00,2312,79.91319162,Merchant 2312,Location 2312,Other,0,0,Customer 1043,25,Address 1043
55,56,83.1517552203441,1611,03-01-2022 07:00,2292,99.39547483,Merchant 2292,Location 2292,Retail,0,0,Customer 1611,21,Address 1611
56,57,49.723786313021925,1704,03-01-2022 08:00,2082,98.02129252,Merchant 2082,Location 2082,Travel,0,0,Customer 1704,23,Address 1704
57,58,13.081741283544147,1405,03-01-2022 09:00,2921,85.978464,Merchant 2921,Location 2921,Food,0,0,Customer 1405,59,Address 1405
58,59,28.62756065487808,1161,03-01-2022 10:00,2033,61.36996559,Merchant 2033,Location 2033,Food,0,0,Customer 1161,55,Address 1161
59,60,82.91599923239106,1336,03-01-2022 11:00,2479,56.39017672,Merchant 2479,Location 2479,Retail,0,0,Customer 1336,42,Address 1336
60,61,76.11459127700137,1714,03-01-2022 12:00,2684,52.22458795,Merchant 2684,Location 2684,Travel,0,0,Customer 1714,36,Address 1714
61,62,66.56159118369223,1865,03-01-2022 13:00,2234,88.00863507,Merchant 2234,Location 2234,Travel,0,0,Customer 1865,45,Address 1865
62,63,50.51711429707575,1702,03-01-2022 14:00,2286,22.41233395,Merchant 2286,Location 2286,Other,0,0,Customer 1702,32,Address 1702
63,64,55.162744952494926,1483,03-01-2022 15:00,2131,10.96755079,Merchant 2131,Location 2131,Online,0,0,Customer 1483,56,Address 1483
64,65,78.33451388591148,1139,03-01-2022 16:00,2195,74.80049283,Merchant 2195,Location 2195,Other,0,0,Customer 1139,21,Address 1139
65,66,51.4144879788989,1108,03-01-2022 17:00,2561,16.34857049,Merchant 2561,Location 2561,Other,0,0,Customer 1108,33,Address 1108
66,67,81.34788954135908,1056,03-01-2022 18:00,2171,59.48591944,Merchant 2171,Location 2171,Retail,0,0,Customer 1056,46,Address 1056
67,68,95.23140544260824,1548,03-01-2022 19:00,2781,64.68870799,Merchant 2781,Location 2781,Other,0,0,Customer 1548,29,Address 1548
68,69,87.15831942631942,1887,03-01-2022 20:00,2038,40.11881406,Merchant 2038,Location 2038,Retail,0,0,Customer 1887,40,Address 1887
69,70,78.69681169305915,1897,03-01-2022 21:00,2475,33.1869425,Merchant 2475,Location 2475,Other,0,0,Customer 1897,27,Address 1897
70,71,23.80623682022744,1154,03-01-2022 22:00,2487,64.24073572,Merchant 2487,Location 2487,Online,0,0,Customer 1154,48,Address 1154
71,72,57.31615922446038,1286,03-01-2022 23:00,2495,53.91674222,Merchant 2495,Location 2495,Online,1,0,Customer 1286,19,Address 1286
72,73,67.92604330939866,1149,04-01-2022 00:00,2200,55.60426364,Merchant 2200,Location 2200,Travel,0,0,Customer 1149,34,Address 1149
73,74,16.26344880319616,1158,04-01-2022 01:00,2296,95.54621197,Merchant 2296,Location 2296,Travel,0,0,Customer 1158,50,Address 1158
74,75,13.42002255353782,1606,04-01-2022 02:00,2872,25.73509605,Merchant 2872,Location 2872,Other,0,0,Customer 1606,60,Address 1606
75,76,42.76855554669151,1422,04-01-2022 03:00,2036,92.08992059,Merchant 2036,Location 2036,Food,0,0,Customer 1422,32,Address 1422
76,77,41.21158341874049,1007,04-01-2022 04:00,2753,66.15215048,Merchant 2753,Location 2753,Travel,0,0,Customer 1007,33,Address 1007
77,78,58.13859005804491,1985,04-01-2022 05:00,2116,70.84820401,Merchant 2116,Location 2116,Other,0,0,Customer 1985,47,Address 1985
78,79,14.634664157422302,1776,04-01-2022 06:00,2203,65.46874683,Merchant 2203,Location 2203,Online,0,0,Customer 1776,31,Address 1776
79,80,19.137591520992626,1159,04-01-2022 07:00,2083,25.2730951,Merchant 2083,Location 2083,Retail,0,0,Customer 1159,54,Address 1159
80,81,29.83486576041774,1493,04-01-2022 08:00,2552,54.43074954,Merchant 2552,Location 2552,Travel,0,0,Customer 1493,44,Address 1493
81,82,38.43137755298227,1322,04-01-2022 09:00,2282,89.92128591,Merchant 2282,Location 2282,Online,0,0,Customer 1322,29,Address 1322
82,83,18.110761868902294,1731,04-01-2022 10:00,2610,70.55336115,Merchant 2610,Location 2610,Food,0,0,Customer 1731,62,Address 1731
83,84,22.97242859349798,1876,04-01-2022 11:00,2901,11.76053278,Merchant 2901,Location 2901,Online,0,0,Customer 1876,31,Address 1876
84,85,22.45289288099517,1920,04-01-2022 12:00,2323,47.90428072,Merchant 2323,Location 2323,Retail,0,0,Customer 1920,33,Address 1920
85,86,70.51131966791718,1618,04-01-2022 13:00,2534,30.12257415,Merchant 2534,Location 2534,Retail,0,0,Customer 1618,27,Address 1618
86,87,78.55221406635722,1054,04-01-2022 14:00,2586,59.06169369,Merchant 2586,Location 2586,Retail,0,0,Customer 1054,27,Address 1054
87,88,35.601241841950866,1886,04-01-2022 15:00,2882,61.03045075,Merchant 2882,Location 2882,Travel,0,0,Customer 1886,37,Address 1886
88,89,26.00722367933592,1071,04-01-2022 16:00,2055,77.76328615,Merchant 2055,Location 2055,Retail,0,0,Customer 1071,64,Address 1071
89,90,85.36034193563887,1975,04-01-2022 17:00,2622,49.16020343,Merchant 2622,Location 2622,Retail,0,0,Customer 1975,51,Address 1975
90,91,48.09673926087099,1726,04-01-2022 18:00,2140,70.2877711,Merchant 2140,Location 2140,Online,0,0,Customer 1726,23,Address 1726
91,92,29.03410939854033,1435,04-01-2022 19:00,2010,33.83842064,Merchant 2010,Location 2010,Food,0,0,Customer 1435,35,Address 1435
92,93,98.14685940247114,1684,04-01-2022 20:00,2111,49.22333119,Merchant 2111,Location 2111,Travel,0,0,Customer 1684,43,Address 1684
93,94,79.77488953148558,1277,04-01-2022 21:00,2680,85.86740383,Merchant 2680,Location 2680,Travel,0,0,Customer 1277,22,Address 1277
94,95,50.39592040108388,1828,04-01-2022 22:00,2600,72.28814081,Merchant 2600,Location 2600,Other,1,0,Customer 1828,62,Address 1828
95,96,98.5026858539832,1466,04-01-2022 23:00,2054,26.19635169,Merchant 2054,Location 2054,Retail,0,0,Customer 1466,41,Address 1466
96,97,18.16684546592576,1922,05-01-2022 00:00,2432,90.07782706,Merchant 2432,Location 2432,Other,0,0,Customer 1922,46,Address 1922
97,98,55.88720399193835,1183,05-01-2022 01:00,2346,21.11119367,Merchant 2346,Location 2346,Other,0,0,Customer 1183,40,Address 1183
98,99,76.84342858021311,1866,05-01-2022 02:00,2299,15.15268524,Merchant 2299,Location 2299,Online,0,0,Customer 1866,35,Address 1866
99,100,13.097222776355888,1514,05-01-2022 03:00,2027,94.00734126,Merchant 2027,Location 2027,Other,0,0,Customer 1514,20,Address 1514
100,101,58.92390637798005,1023,05-01-2022 04:00,2433,88.98436113,Merchant 2433,Location 2433,Food,0,0,Customer 1023,34,Address 1023
101,102,61.65899469709107,1012,05-01-2022 05:00,2736,97.4868818,Merchant 2736,Location 2736,Online,0,0,Customer 1012,45,Address 1012
102,103,12.458635265316776,1585,05-01-2022 06:00,2744,83.76810174,Merchant 2744,Location 2744,Retail,0,0,Customer 1585,37,Address 1585
103,104,16.651042272403856,1914,05-01-2022 07:00,2433,93.56933968,Merchant 2433,Location 2433,Travel,0,0,Customer 1914,18,Address 1914
104,105,64.1798875377491,1979,05-01-2022 08:00,2453,39.70711038,Merchant 2453,Location 2453,Other,0,0,Customer 1979,20,Address 1979
105,106,13.915099886609262,1995,05-01-2022 09:00,2154,54.89026404,Merchant 2154,Location 2154,Travel,0,0,Customer 1995,38,Address 1995
106,107,58.084975288492096,1359,05-01-2022 10:00,2908,85.92834802,Merchant 2908,Location 2908,Online,0,0,Customer 1359,53,Address 1359
107,108,96.8105858612092,1609,05-01-2022 11:00,2967,64.58967531,Merchant 2967,Location 2967,Online,0,0,Customer 1609,29,Address 1609
108,109,48.737959254294935,1796,05-01-2022 12:00,2508,66.5143718,Merchant 2508,Location 2508,Food,0,0,Customer 1796,33,Address 1796
109,110,44.24378825471623,1685,05-01-2022 13:00,2580,57.44211219,Merchant 2580,Location 2580,Other,0,0,Customer 1685,18,Address 1685
110,111,22.586047991269297,1961,05-01-2022 14:00,2570,10.62508533,Merchant 2570,Location 2570,Retail,0,0,Customer 1961,47,Address 1961
111,112,40.47944601842122,1740,05-01-2022 15:00,2493,21.31013276,Merchant 2493,Location 2493,Other,0,0,Customer 1740,19,Address 1740
112,113,74.4439571243902,1836,05-01-2022 16:00,2628,31.08965841,Merchant 2628,Location 2628,Online,0,0,Customer 1836,47,Address 1836
113,114,77.57986716270221,1120,05-01-2022 17:00,2240,97.86479107,Merchant 2240,Location 2240,Travel,0,0,Customer 1120,47,Address 1120
114,115,40.63979180497972,1841,05-01-2022 18:00,2941,20.93135755,Merchant 2941,Location 2941,Retail,0,0,Customer 1841,22,Address 1841
115,116,62.921911545133966,1930,05-01-2022 19:00,2507,84.66984069,Merchant 2507,Location 2507,Food,0,0,Customer 1930,61,Address 1930
116,117,43.7036374245612,1423,05-01-2022 20:00,2128,75.34393386,Merchant 2128,Location 2128,Travel,0,0,Customer 1423,40,Address 1423
117,118,56.60485656715164,1575,05-01-2022 21:00,2428,31.02996223,Merchant 2428,Location 2428,Retail,0,0,Customer 1575,21,Address 1575
118,119,17.72987462635209,1780,05-01-2022 22:00,2572,19.52790738,Merchant 2572,Location 2572,Retail,1,0,Customer 1780,48,Address 1780
119,120,68.83486745284134,1894,05-01-2022 23:00,2304,82.48672259,Merchant 2304,Location 2304,Retail,0,0,Customer 1894,26,Address 1894
120,121,32.34210737065556,1240,06-01-2022 00:00,2794,95.08638384,Merchant 2794,Location 2794,Retail,0,0,Customer 1240,43,Address 1240
121,122,87.56655197793899,1167,06-01-2022 01:00,2846,48.77567691,Merchant 2846,Location 2846,Retail,0,0,Customer 1167,33,Address 1167
122,123,70.83894725546456,1330,06-01-2022 02:00,2169,76.92373658,Merchant 2169,Location 2169,Other,1,1,Customer 1330,63,Address 1330
123,124,26.529790933426444,1171,06-01-2022 03:00,2948,52.73870333,Merchant 2948,Location 2948,Travel,0,0,Customer 1171,22,Address 1171
124,125,88.20456750327392,1749,06-01-2022 04:00,2148,83.10764959,Merchant 2148,Location 2148,Retail,0,0,Customer 1749,44,Address 1749
125,126,55.20289159939914,1069,06-01-2022 05:00,2226,60.0261689,Merchant 2226,Location 2226,Other,0,0,Customer 1069,38,Address 1069
126,127,55.48555001123924,1569,06-01-2022 06:00,2390,89.72536825,Merchant 2390,Location 2390,Other,0,0,Customer 1569,31,Address 1569
127,128,39.19964508295418,1537,06-01-2022 07:00,2637,83.88838197,Merchant 2637,Location 2637,Food,0,0,Customer 1537,37,Address 1537
128,129,49.87286889896349,1425,06-01-2022 08:00,2461,93.24206116,Merchant 2461,Location 2461,Food,0,0,Customer 1425,56,Address 1425
129,130,12.473355037269908,1761,06-01-2022 09:00,2928,53.74615541,Merchant 2928,Location 2928,Other,0,0,Customer 1761,21,Address 1761
130,131,75.99253650342669,1458,06-01-2022 10:00,2901,43.06404676,Merchant 2901,Location 2901,Other,0,0,Customer 1458,35,Address 1458
131,132,65.03159710701489,1588,06-01-2022 11:00,2588,27.32178111,Merchant 2588,Location 2588,Food,0,0,Customer 1588,27,Address 1588
132,133,92.36972521780169,1418,06-01-2022 12:00,2717,74.31939247,Merchant 2717,Location 2717,Retail,0,0,Customer 1418,19,Address 1418
133,134,33.800957892074884,1299,06-01-2022 13:00,2511,81.10453304,Merchant 2511,Location 2511,Food,0,0,Customer 1299,31,Address 1299
134,135,14.56451519624522,1822,06-01-2022 14:00,2077,51.28972617,Merchant 2077,Location 2077,Travel,0,0,Customer 1822,44,Address 1822
135,136,70.85855068793218,1152,06-01-2022 15:00,2921,76.33022877,Merchant 2921,Location 2921,Travel,0,0,Customer 1152,55,Address 1152
136,137,80.77316169978734,1667,06-01-2022 16:00,2639,82.18514377,Merchant 2639,Location 2639,Other,0,0,Customer 1667,35,Address 1667
137,138,39.8254029895631,1669,06-01-2022 17:00,2548,68.07165652,Merchant 2548,Location 2548,Online,0,0,Customer 1669,44,Address 1669
138,139,12.184601872547413,1169,06-01-2022 18:00,2338,97.73176014,Merchant 2338,Location 2338,Online,0,0,Customer 1169,30,Address 1169
139,140,36.9412542954954,1574,06-01-2022 19:00,2180,44.40597074,Merchant 2180,Location 2180,Travel,0,0,Customer 1574,55,Address 1574
140,141,61.41387641863861,1019,06-01-2022 20:00,2209,46.56716357,Merchant 2209,Location 2209,Retail,0,0,Customer 1019,37,Address 1019
141,142,74.95521382139967,1017,06-01-2022 21:00,2919,50.49745126,Merchant 2919,Location 2919,Other,0,0,Customer 1017,21,Address 1017
142,143,86.47644806653052,1150,06-01-2022 22:00,2573,73.01484256,Merchant 2573,Location 2573,Online,0,0,Customer 1150,52,Address 1150
143,144,44.586046124582026,1087,06-01-2022 23:00,2954,70.58921224,Merchant 2954,Location 2954,Online,0,0,Customer 1087,28,Address 1087
144,145,45.94470335816509,1129,07-01-2022 00:00,2936,18.76039379,Merchant 2936,Location 2936,Online,0,0,Customer 1129,39,Address 1129
145,146,86.17240478756997,1234,07-01-2022 01:00,2011,33.87159912,Merchant 2011,Location 2011,Food,0,0,Customer 1234,18,Address 1234
146,147,19.688496513147165,1112,07-01-2022 02:00,2504,93.62801307,Merchant 2504,Location 2504,Travel,0,0,Customer 1112,57,Address 1112
147,148,79.52197137501955,1066,07-01-2022 03:00,2369,78.51656294,Merchant 2369,Location 2369,Online,0,0,Customer 1066,64,Address 1066
148,149,10.863844969173988,1598,07-01-2022 04:00,2751,13.74011502,Merchant 2751,Location 2751,Travel,1,0,Customer 1598,29,Address 1598
149,150,15.24013555293646,1117,07-01-2022 05:00,2684,35.76256758,Merchant 2684,Location 2684,Other,0,0,Customer 1117,52,Address 1117
150,151,46.265651867845264,1311,07-01-2022 06:00,2920,91.20674787,Merchant 2920,Location 2920,Retail,0,0,Customer 1311,25,Address 1311
151,152,10.64214063364256,1998,07-01-2022 07:00,2953,67.72998286,Merchant 2953,Location 2953,Travel,0,0,Customer 1998,25,Address 1998
152,153,40.52631372440093,1123,07-01-2022 08:00,2514,23.84789058,Merchant 2514,Location 2514,Online,0,0,Customer 1123,34,Address 1123
153,154,55.74925986254664,1098,07-01-2022 09:00,2480,23.19675309,Merchant 2480,Location 2480,Online,0,0,Customer 1098,61,Address 1098
154,155,80.68702881549353,1836,07-01-2022 10:00,2598,55.12309146,Merchant 2598,Location 2598,Retail,0,0,Customer 1836,47,Address 1836
155,156,58.78105340124304,1126,07-01-2022 11:00,2245,92.42444949,Merchant 2245,Location 2245,Retail,0,0,Customer 1126,27,Address 1126
156,157,93.21260497318085,1105,07-01-2022 12:00,2068,60.5451451,Merchant 2068,Location 2068,Online,0,0,Customer 1105,37,Address 1105
157,158,48.93431687421971,1634,07-01-2022 13:00,2454,58.13885001,Merchant 2454,Location 2454,Food,0,0,Customer 1634,44,Address 1634
158,159,75.84896970201633,1768,07-01-2022 14:00,2225,49.28997754,Merchant 2225,Location 2225,Other,0,0,Customer 1768,35,Address 1768
159,160,99.24329385724016,1271,07-01-2022 15:00,2783,20.43390272,Merchant 2783,Location 2783,Food,1,0,Customer 1271,23,Address 1271
160,161,97.62385249068704,1935,07-01-2022 16:00,2752,34.28799621,Merchant 2752,Location 2752,Travel,0,0,Customer 1935,35,Address 1935
161,162,68.36222224178091,1666,07-01-2022 17:00,2583,93.90980108,Merchant 2583,Location 2583,Retail,1,0,Customer 1666,36,Address 1666
162,163,52.7405583765616,1495,07-01-2022 18:00,2370,62.29668213,Merchant 2370,Location 2370,Online,0,0,Customer 1495,20,Address 1495
163,164,88.75728850172628,1982,07-01-2022 19:00,2025,21.20038562,Merchant 2025,Location 2025,Other,0,0,Customer 1982,46,Address 1982
164,165,70.65807372432405,1127,07-01-2022 20:00,2998,39.62416223,Merchant 2998,Location 2998,Food,0,0,Customer 1127,39,Address 1127
165,166,16.560396381973245,1437,07-01-2022 21:00,2081,94.98701866,Merchant 2081,Location 2081,Travel,0,0,Customer 1437,19,Address 1437
166,167,36.87248196812679,1145,07-01-2022 22:00,2229,70.94903663,Merchant 2229,Location 2229,Travel,0,0,Customer 1145,56,Address 1145
167,168,37.97774880715161,1477,07-01-2022 23:00,2711,65.07165073,Merchant 2711,Location 2711,Online,0,0,Customer 1477,31,Address 1477
168,169,37.40762141397819,1727,08-01-2022 00:00,2853,87.84367672,Merchant 2853,Location 2853,Other,0,0,Customer 1727,25,Address 1727
169,170,27.459895442013668,1365,08-01-2022 01:00,2514,96.14624651,Merchant 2514,Location 2514,Other,0,1,Customer 1365,49,Address 1365
170,171,16.468824479692067,1239,08-01-2022 02:00,2201,91.19330768,Merchant 2201,Location 2201,Retail,0,0,Customer 1239,40,Address 1239
171,172,95.81318706963296,1422,08-01-2022 03:00,2818,98.62431307,Merchant 2818,Location 2818,Travel,0,0,Customer 1422,32,Address 1422
172,173,63.47667766306569,1089,08-01-2022 04:00,2200,69.26898129,Merchant 2200,Location 2200,Online,0,0,Customer 1089,50,Address 1089
173,174,97.0655205171012,1407,08-01-2022 05:00,2898,38.39751064,Merchant 2898,Location 2898,Retail,1,0,Customer 1407,32,Address 1407
174,175,13.592210306686386,1233,08-01-2022 06:00,2298,72.07671515,Merchant 2298,Location 2298,Online,0,0,Customer 1233,28,Address 1233
175,176,18.04295485910775,1474,08-01-2022 07:00,2144,23.16580918,Merchant 2144,Location 2144,Online,0,0,Customer 1474,37,Address 1474
176,177,57.400809663920754,1059,08-01-2022 08:00,2372,96.99742621,Merchant 2372,Location 2372,Other,0,0,Customer 1059,42,Address 1059
177,178,91.89645670792092,1596,08-01-2022 09:00,2196,75.17795368,Merchant 2196,Location 2196,Online,0,0,Customer 1596,62,Address 1596
178,179,67.30165835468443,1800,08-01-2022 10:00,2981,71.27729967,Merchant 2981,Location 2981,Food,0,0,Customer 1800,58,Address 1800
179,180,79.45616782324659,1117,08-01-2022 11:00,2229,73.50579665,Merchant 2229,Location 2229,Food,0,0,Customer 1117,52,Address 1117
180,181,74.59376570121384,1548,08-01-2022 12:00,2078,95.81512851,Merchant 2078,Location 2078,Other,0,0,Customer 1548,29,Address 1548
181,182,90.0500458660583,1084,08-01-2022 13:00,2220,18.85269718,Merchant 2220,Location 2220,Travel,0,0,Customer 1084,60,Address 1084
182,183,71.65549550773102,1591,08-01-2022 14:00,2671,13.29487819,Merchant 2671,Location 2671,Online,0,0,Customer 1591,36,Address 1591
183,184,76.74484865313467,1107,08-01-2022 15:00,2507,70.84194087,Merchant 2507,Location 2507,Retail,0,0,Customer 1107,60,Address 1107
184,185,30.73140745162662,1449,08-01-2022 16:00,2166,29.79754218,Merchant 2166,Location 2166,Online,0,0,Customer 1449,64,Address 1449
185,186,13.94613717842646,1997,08-01-2022 17:00,2528,10.97606379,Merchant 2528,Location 2528,Online,0,0,Customer 1997,58,Address 1997
186,187,86.27614397676666,1825,08-01-2022 18:00,2366,30.6278139,Merchant 2366,Location 2366,Retail,0,0,Customer 1825,54,Address 1825
187,188,39.15191297159039,1609,08-01-2022 19:00,2348,86.27039906,Merchant 2348,Location 2348,Other,0,0,Customer 1609,29,Address 1609
188,189,63.75541221221678,1439,08-01-2022 20:00,2163,90.69366946,Merchant 2163,Location 2163,Food,0,0,Customer 1439,47,Address 1439
189,190,13.936656978315106,1122,08-01-2022 21:00,2778,97.45799846,Merchant 2778,Location 2778,Travel,0,0,Customer 1122,54,Address 1122
190,191,39.27911887178642,1542,08-01-2022 22:00,2360,94.26044568,Merchant 2360,Location 2360,Retail,0,0,Customer 1542,63,Address 1542
191,192,61.29285089639624,1024,08-01-2022 23:00,2940,65.20547785,Merchant 2940,Location 2940,Retail,0,0,Customer 1024,40,Address 1024
192,193,61.5850254830433,1804,09-01-2022 00:00,2926,58.92672041,Merchant 2926,Location 2926,Food,0,0,Customer 1804,24,Address 1804
